44.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\Loi_Behind_LLC\Loi_Behind_LLC_Cropped\DJI_0894\44.jpg,142,226,232,349,infested_frond
12.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\Loi_Behind_LLC\Loi_Behind_LLC_Cropped\DJI_0913\12.jpg,891,325,1000,430,infested_frond
35.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0171\35.jpg,821,75,887,321,healthy_frond
13.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\West_Waiawa_Plots\West_Waiawa_Plots_Cropped\DJI_0678\13.jpg,572,77,916,543,infested_tree
14.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\Loi_Behind_LLC\Loi_Behind_LLC_Cropped\DJI_0903\14.jpg,96,831,271,990,healthy_tree
32.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0174\32.jpg,505,568,534,604,notch
42.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\West_Waiawa_Plots\West_Waiawa_Plots_Cropped\DJI_0665\42.jpg,477,1,522,39,notch
26.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0185\26.jpg,26,814,58,850,notch
32.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\Loi_Behind_LLC\Loi_Behind_LLC_Cropped\DJI_0896\32.jpg,700,79,750,150,healthy_frond
44.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0240\44.jpg,856,87,895,142,notch
45.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\West_Waiawa_Plots\West_Waiawa_Plots_Cropped\DJI_0650\45.jpg,180,67,890,702,infested_tree
13.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\West_Waiawa_Plots\West_Waiawa_Plots_Cropped\DJI_0672\13.jpg,902,572,962,631,notch
45.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0177\45.jpg,480,236,663,369,healthy_frond
14.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0177\14.jpg,446,55,572,122,healthy_frond
44.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\Loi_Behind_LLC\Loi_Behind_LLC_Cropped\DJI_0890\44.jpg,283,1,331,156,infested_frond
22.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0152\22.jpg,1,745,123,836,healthy_frond
24.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0173\24.jpg,79,523,186,668,healthy_frond
32.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0197\32.jpg,429,307,523,397,healthy_frond
13.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0162\13.jpg,796,522,976,606,healthy_frond
12.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\Loi_Behind_LLC\Loi_Behind_LLC_Cropped\DJI_0915\12.jpg,274,716,329,757,notch
41.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\West_Waiawa_Plots\West_Waiawa_Plots_Cropped\DJI_0657\41.jpg,436,1,466,19,notch
45.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0156\45.jpg,468,639,563,776,healthy_frond
14.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0149\14.jpg,275,7,382,205,healthy_frond
23.jpg,C:\Users\developer\Desktop\labeled_images_dataset_Copy\East_Waiawa_Plots\East_Waiawa_Plots_Cropped\DJI_0154\23.jpg,812,823,903,893,healthy_frond
